outcome,baseline_rate,lift,rate,weighted_yes,weighted_yes_m,weighted_n,weighted_n_m,sample_n,group_size,group_1,value_1,group_2,value_2
subsidiary_work,0.12907,2.02,0.260721,261430715,0.261,1002723963,1.003,888,2,Household Religion,Christianity,Household Type,casual labour in agriculture
subsidiary_work,0.12907,2.01,0.25923,4347835759,4.348,16772145699,16.772,11751,2,age_band,15-24,Household Social Group,scheduled tribe
unpaid_helper,0.0632,4.95,0.312822,223799204,0.224,715420184,0.715,279,2,Marital Status,divorced/separated,Household Type,self-employed in agriculture
unpaid_helper,0.0632,4.74,0.299335,10979614516,10.98,36680011743,36.68,12073,2,age_band,25-34,Household Type,self-employed in agriculture
unpaid_helper,0.0632,3.75,0.237253,8345433091,8.345,35175315569,35.175,12247,2,age_band,35-44,Household Type,self-employed in agriculture
unpaid_helper,0.0632,3.59,0.226963,21768821744,21.769,95913717104,95.914,33335,2,life_stage,working_age,Household Type,self-employed in agriculture
unpaid_helper,0.0632,3.53,0.222842,146045551,0.146,655378527,0.655,725,2,Household Religion,others,Household Type,self-employed in agriculture
unpaid_helper,0.0632,3.49,0.220458,2769044531,2.769,12560408725,12.56,3724,2,General Education Level,graduate,Household Type,self-employed in agriculture
unpaid_helper,0.0632,3.47,0.219586,14974857776,14.975,68195729564,68.196,23676,2,life_stage,youth,Household Type,self-employed in agriculture
unpaid_helper,0.0632,3.39,0.214292,255702006,0.256,1193240235,1.193,434,2,General Education Level,diploma/certificate course,Household Type,self-employed in agriculture
unpaid_helper,0.0632,3.38,0.213726,28678293625,28.678,134182469996,134.182,45528,2,Marital Status,currently married,Household Type,self-employed in agriculture
unpaid_helper,0.0632,3.14,0.19854,2946303862,2.946,14839841150,14.84,9578,2,age_band,25-34,Household Social Group,scheduled tribe
unpaid_helper,0.0632,3.13,0.19805,7082542666,7.083,35761358936,35.761,19764,2,Household Social Group,scheduled tribe,Household Type,self-employed in agriculture
unpaid_helper,0.0632,3.09,0.195242,60419093,0.06,309457999,0.309,466,2,age_band,35-44,Household Religion,others
unpaid_helper,0.0632,3.01,0.190356,9299169036,9.299,48851581347,48.852,17230,2,age_band,15-24,Household Type,self-employed in agriculture
unpaid_helper,0.0632,2.99,0.18872,8536377859,8.536,45232945963,45.233,16870,2,General Education Level,middle,Household Type,self-employed in agriculture
unpaid_helper,0.0632,2.96,0.187073,8119462877,8.119,43402538009,43.403,15461,2,age_band,45-59,Household Type,self-employed in agriculture
unpaid_helper,0.0632,2.92,0.184389,23851194824,23.851,129352347459,129.352,44343,2,Sex,female,Household Type,self-employed in agriculture
unpaid_helper,0.0632,2.89,0.182953,117660198,0.118,643118729,0.643,908,2,Household Religion,Buddhism,Household Type,self-employed in agriculture
unpaid_helper,0.0632,2.78,0.175994,4309495864,4.309,24486590364,24.487,8152,2,General Education Level,higher secondary,Household Type,self-employed in agriculture
unpaid_helper,0.0632,2.71,0.171132,2131248688,2.131,12453851267,12.454,9099,2,age_band,35-44,Household Social Group,scheduled tribe
unpaid_helper,0.0632,2.69,0.170141,7348987663,7.349,43193572094,43.194,27554,2,Marital Status,currently married,Household Social Group,scheduled tribe
unpaid_helper,0.0632,2.67,0.16866,4131342167,4.131,24495050024,24.495,16624,2,life_stage,youth,Household Social Group,scheduled tribe
unpaid_helper,0.0632,2.66,0.168002,4573398516,4.573,27222295700,27.222,10324,2,General Education Level,secondary,Household Type,self-employed in agriculture
unpaid_helper,0.0632,2.6,0.164197,60076372,0.06,365879873,0.366,582,2,age_band,15-24,Household Religion,others
